TH|6034565:1|60433365:1|32462330:1|51717802:1|43433768:1|45689241:1|35579418:1|60589430:1|22339267:1|47525077:1|8155074:1|11513990:1|47551919:1|77869029:1|9372031:1|51896393:1|16730391:1|76176301:1|16251631:1|20537029:1|2068969:1|75055835:1|75295948:1|42242001:1|44057235:1|49888869:1|32045099:1|38519410:1|78744381:1|61645968:1|7984583:1|4488600:1|58373316:1|24598170:1|55127098:1|75047974:1|78663444:1|64352285:1|11234797:1|48917371:1|23603659:1|77684612:1|3151641:1|45952323:1|8513429:1|1737979:1|63510420:1|44252207:1|76518269:1|55862745:1
SJ|14259413:1|10996649:1|34397832:1|69826531:1|1861027:1|49666225:1|32804273:1|15999851:1|8490286:1|76305452:1|40440213:1|58071023:1|18288026:1|32964148:1|37412127:1|79274715:1|45341651:1|64149612:1|3051114:1|15874207:1|38139385:1|46621193:1|7246811:1|7804911:1|34218797:1|12382659:1|67527171:1|75545693:1|67637194:1|11640276:1|28755637:1|51354146:1|52473263:1|3939112:1|65194373:1|45671623:1|54424096:1|55713493:1|53268622:1|49141778:1|1426514:1|43211470:1|1640147:1|8412798:1|11140400:1|48299990:1|65190353:1|7265264:1|16842521:1|17237418:1
KZ|36613618:2|37243136:1|24065614:1|79783171:1|62747058:1|12864356:1|33673732:1|40219540:1|43136199:1|10597154:1|24560895:1|55913568:1|23002305:1|2025530:1|36474686:1|72332798:1|54216747:1|11498000:1|34571096:1|3687375:1|29699678:1|47512280:1|52409873:1|73175032:1|70723076:1|67114853:1|60181511:1|70228317:1|24283893:1|55671343:1|11821659:1|32974561:1|56723235:1|70160442:1|72666295:1|28727265:1|61640642:1|70898235:1|67647757:1|31501780:1|21390898:1|76828580:1|46209548:1|7968353:1|54730878:1|28444172:1|43111731:1|35730370:1|57372393:1|71622721:1
SS|10919118:1|33054495:1|46007932:1|4872227:1|25629197:1|76614853:1|42942303:1|18540403:1|12226897:1|23827244:1|46777668:1|72522894:1|9953009:1|61972469:1|77182089:1|27176666:1|60058058:1|72254521:1|12480868:1|21531638:1|11343688:1|64156804:1|31459355:1|7408806:1|59168997:1|13174160:1|4254429:1|48992782:1|14067541:1|49008340:1|77407427:1|14665924:1|79975189:1|5756293:1|66388883:1|28596783:1|75366269:1|25175296:1|28664595:1|22159491:1|47978297:1|25694882:1|68560363:1|9285248:1|47299506:1|53626091:1|79436457:1|31113600:1|53357324:1|1331981:1
ZM|63543:2|59094132:1|78068043:1|73296605:1|56264945:1|4055075:1|64469446:1|23952368:1|26281487:1|10111317:1|64672755:1|20413313:1|44899726:1|33818603:1|56404330:1|26231327:1|35717056:1|18946683:1|50868164:1|1351267:1|48996479:1|66375870:1|10743833:1|48602951:1|33183298:1|25593791:1|46362912:1|9340420:1|20444891:1|59147370:1|2678768:1|66348826:1|6227102:1|73284964:1|26826814:1|63021062:1|48391782:1|54476783:1|38171920:1|36286214:1|35274514:1|31879641:1|48715520:1|76983930:1|35257316:1|9401868:1|62644748:1|75400974:1|56866968:1|62548550:1
CN|45705954:1|5866313:1|20890100:1|3728048:1|14462904:1|32029212:1|16567807:1|33417593:1|20819137:1|14146756:1|13810474:1|42755220:1|7564552:1|32410065:1|26950345:1|21941342:1|47227450:1|74906006:1|61363183:1|10451529:1|49299650:1|60921294:1|79846982:1|2467002:1|11626762:1|65003687:1|63096776:1|58292870:1|20976491:1|72873456:1|35254986:1|22493142:1|19488849:1|64488807:1|5506143:1|11854434:1|78600957:1|22512265:1|64334420:1|50130570:1|10806576:1|23225072:1|74463291:1|20974184:1|44584078:1|69813001:1|66540550:1|30747619:1|12776671:1|44837133:1
KM|51828969:2|27840295:1|4119787:1|35636562:1|16744301:1|61144601:1|33116912:1|58830127:1|49506396:1|62313614:1|20568357:1|73919374:1|6886401:1|1920238:1|57866673:1|30134845:1|22542419:1|28104570:1|14964854:1|66562492:1|34050256:1|15356924:1|41589660:1|77711916:1|10706002:1|68591727:1|15069917:1|36322039:1|31077639:1|48797090:1|16486406:1|69554493:1|72214071:1|12638216:1|46098101:1|32188399:1|30442814:1|12798008:1|14213406:1|5421968:1|17849518:1|59826037:1|7314087:1|28448313:1|4399331:1|46245535:1|23647629:1|51103788:1|71549349:1|29231448:1
SK|60836298:1|76014660:1|32368501:1|70749999:1|64344872:1|28416080:1|4189111:1|71650489:1|36512789:1|44494828:1|59511450:1|38871114:1|67193797:1|59463117:1|55222502:1|14140489:1|29572410:1|64052894:1|66507970:1|27997716:1|77328889:1|22303817:1|31391566:1|47808665:1|9814048:1|16988909:1|78484159:1|69336357:1|38188863:1|18017149:1|17971369:1|14462933:1|40662355:1|19343129:1|46223374:1|8050991:1|69797878:1|19989922:1|77282166:1|65182982:1|2962836:1|51735502:1|68534088:1|39436064:1|4884090:1|2601072:1|62965028:1|72738178:1|31825430:1|9223341:1
GP|77586488:1|48270667:1|33976128:1|38222642:1|114001:1|70365813:1|18447356:1|19416472:1|51186963:1|29911012:1|13644149:1|55494729:1|70045888:1|56534102:1|61419037:1|14558601:1|48600495:1|1113956:1|5110107:1|55114881:1|31048025:1|9913335:1|55254332:1|23313943:1|59701470:1|34471073:1|63838198:1|51502560:1|1378381:1|36389030:1|72035345:1|26476119:1|36638376:1|1501071:1|74824228:1|21203443:1|77934518:1|23561371:1|52326972:1|67522036:1|58188658:1|48272062:1|29853090:1|68213332:1|31799989:1|79537824:1|59217192:1|55364131:1|30614654:1|33789356:1
MY|50714418:1|56971877:1|54743106:1|5285654:1|52931395:1|34342039:1|71219083:1|21039580:1|65316000:1|39192973:1|51626467:1|44181482:1|50732976:1|57670313:1|2084709:1|66942735:1|73365954:1|60096859:1|52896988:1|38457367:1|29038632:1|5279025:1|4448855:1|49363569:1|79091123:1|52696033:1|77249747:1|37731770:1|31503934:1|51501870:1|62763360:1|55361159:1|36029565:1|2265640:1|33166157:1|51248308:1|57555515:1|5538881:1|55203870:1|75899806:1|21085948:1|8081162:1|75373225:1|77411821:1|78600983:1|17721861:1|36746137:1|78671138:1|64008009:1|38621160:1
UM|51357755:1|44322104:1|10429631:1|211608:1|54781416:1|5708592:1|58646651:1|75043380:1|59684582:1|5767587:1|32284515:1|6577944:1|33896794:1|72215121:1|15191199:1|79705727:1|23743077:1|69332574:1|52863547:1|37750267:1|8938703:1|51179743:1|73608229:1|43841725:1|22912359:1|9351542:1|76441036:1|50391430:1|75979794:1|45433414:1|29827508:1|11481078:1|67546002:1|871114:1|24990959:1|55506295:1|47883577:1|57949678:1|22158657:1|36967048:1|46707326:1|22383244:1|70768996:1|30113249:1|67532972:1|4476860:1|14279755:1|29347792:1|74436024:1|59519934:1
JP|29428744:1|47485189:1|17679836:1|32954754:1|10298109:1|3688040:1|30264680:1|32822061:1|49672735:1|20245413:1|3315356:1|77717955:1|30250340:1|71228593:1|65977844:1|12423408:1|25700587:1|14181987:1|60406939:1|39855861:1|56681806:1|26305948:1|7365389:1|40518004:1|22204625:1|10838960:1|78403754:1|71949980:1|2680354:1|8170945:1|12405708:1|26057952:1|1229320:1|44246155:1|71080135:1|45980031:1|9461672:1|13149674:1|39850820:1|1332673:1|55948008:1|53183495:1|47122305:1|77552522:1|66723674:1|14251399:1|67792673:1|51892539:1|32515041:1|27128961:1
ID|28133169:1|43379242:1|17461816:1|21993377:1|8849530:1|10572757:1|16580623:1|19483505:1|18010117:1|75484907:1|75355220:1|64085947:1|53020509:1|37349574:1|41647638:1|16205446:1|37599853:1|78172841:1|18345206:1|9222550:1|78054680:1|38200814:1|46167220:1|58791028:1|74326941:1|32062899:1|6420201:1|16699418:1|12333917:1|49463338:1|61805111:1|38813657:1|57313408:1|41040090:1|15562162:1|68746913:1|43063766:1|73552486:1|29230961:1|34654995:1|52832057:1|37648185:1|1719061:1|7483327:1|53473358:1|31022856:1|26019611:1|43651369:1|44967724:1|21700829:1
BW|70571146:1|78892080:1|13291959:1|12148223:1|30919661:1|59019129:1|46191795:1|55306184:1|17420023:1|67060031:1|51424670:1|62058108:1|68299732:1|48772489:1|32262845:1|27392835:1|11623085:1|7104043:1|40675096:1|62394756:1|6812378:1|55098977:1|60892167:1|16497917:1|76415134:1|56144618:1|2528387:1|43421632:1|76672788:1|20100843:1|355856:1|77938904:1|37864896:1|77267366:1|18756956:1|28831580:1|12281492:1|41870357:1|30671566:1|56329005:1|75421854:1|22947307:1|12727112:1|33148591:1|45605188:1|63269552:1|16178745:1|1020535:1|47259619:1|77978400:1
IO|52849926:2|41544470:1|13901340:1|38098650:1|46417459:1|42691434:1|33815965:1|12001741:1|12523070:1|34775557:1|27284908:1|1999908:1|77478505:1|13853192:1|60103538:1|21699101:1|68837929:1|63429877:1|7203535:1|12403543:1|68267914:1|73943498:1|26996872:1|31447788:1|23678907:1|61087816:1|6607238:1|69828762:1|62553093:1|15935769:1|65061029:1|2525885:1|28331744:1|27859700:1|5950643:1|1420604:1|52792856:1|58936443:1|34356419:1|36084179:1|71499135:1|31837792:1|22692485:1|3084340:1|12094343:1|58962243:1|73119578:1|16966548:1|59795454:1|59048380:1
BV|56673039:1|59894835:1|51173017:1|1280627:1|70937503:1|59286945:1|76136462:1|21471812:1|58907982:1|9952109:1|51040232:1|53158313:1|27556029:1|3792658:1|38038477:1|31732799:1|25943869:1|15089615:1|16173641:1|3105432:1|37508091:1|19715390:1|33964203:1|33506178:1|18938608:1|19098161:1|31005107:1|78055880:1|56000592:1|18430369:1|13888037:1|25639581:1|35215549:1|29630648:1|24120941:1|76675590:1|50049784:1|11122714:1|9644690:1|38406888:1|38729729:1|40137291:1|39776447:1|24333467:1|30084613:1|38818764:1|53345352:1|41781114:1|21735362:1|68103451:1
AM|22043766:1|10851684:1|42632144:1|26822198:1|3343208:1|39515865:1|79710890:1|60787469:1|21665790:1|7712407:1|65372523:1|14534363:1|54494690:1|58571298:1|3522415:1|69069136:1|74818746:1|57101416:1|51837760:1|62460604:1|48405448:1|11594241:1|71033708:1|1888073:1|67330664:1|48607037:1|45308262:1|36883482:1|49453166:1|33173785:1|52021118:1|19351341:1|22265764:1|33596137:1|14284254:1|72835828:1|42794061:1|61435993:1|14403924:1|33031981:1|11177470:1|43961018:1|31324405:1|9119661:1|2553998:1|72708282:1|32594475:1|60578956:1|55150173:1|60683127:1
NU|18479029:1|61180863:1|79770088:1|4450618:1|44129292:1|34086004:1|37678344:1|33349610:1|69087054:1|78091100:1|10021179:1|55830826:1|47462659:1|36676234:1|37822214:1|47351981:1|70924030:1|39198958:1|1578204:1|66282884:1|54870256:1|44859377:1|54298308:1|61260185:1|52503138:1|40702819:1|31272056:1|24932087:1|44409443:1|7560574:1|48356707:1|68032391:1|54723662:1|62366581:1|5634445:1|41563527:1|14259793:1|8475957:1|55476835:1|24501608:1|35069253:1|61631948:1|22637049:1|76464966:1|41807076:1|31055890:1|19881553:1|76796864:1|29162244:1|31718570:1
FR|61575358:1|77024726:1|57242840:1|46149905:1|41161641:1|68565143:1|52701727:1|76535107:1|66492688:1|63606484:1|23038973:1|4989389:1|28698756:1|63119980:1|52674643:1|42021352:1|18530618:1|68333336:1|14208354:1|635931:1|49004081:1|4391388:1|7400145:1|12065131:1|38330377:1|13607971:1|33418871:1|44927410:1|72416158:1|19526125:1|61767458:1|22966873:1|13592441:1|34916806:1|9469371:1|2799923:1|28108098:1|43534808:1|10825793:1|40749760:1|4904065:1|31372765:1|32854127:1|2206772:1|49075679:1|6270814:1|11844247:1|32381743:1|61777174:1|41805348:1
PY|44118527:1|79944221:1|22229625:1|46281336:1|40782592:1|26154345:1|17064637:1|41720905:1|12341199:1|40075472:1|21313612:1|34110380:1|68983025:1|70596341:1|18620835:1|16340695:1|38956216:1|7747122:1|24937356:1|42789122:1|43031102:1|3713353:1|46545323:1|30466360:1|3406155:1|77945475:1|22217917:1|53191946:1|41049835:1|66642019:1|46098689:1|48438672:1|9815334:1|75337934:1|67588803:1|21915432:1|75078235:1|20028576:1|43458975:1|62620643:1|8548677:1|70137800:1|39184306:1|3257541:1|416308:1|61966396:1|23203182:1|15942896:1|63807429:1|38570423:1
RE|43422609:1|37526294:1|71754681:1|38980549:1|50699806:1|51292940:1|72742947:1|14178314:1|60051551:1|20801664:1|51327381:1|72296254:1|19127577:1|42625130:1|28439078:1|12178128:1|17267137:1|52646883:1|72179969:1|13606727:1|55582278:1|65675705:1|51874380:1|40460502:1|74277392:1|3972550:1|37001974:1|2752307:1|69660893:1|16172131:1|13102639:1|62753599:1|55830924:1|21349111:1|70054608:1|1114282:1|70705264:1|19466132:1|46673427:1|24091363:1|64858632:1|73233176:1|58039554:1|64792490:1|42131660:1|69911621:1|25304945:1|21164550:1|3585467:1|60199153:1
SV|30833538:1|64492538:1|22842356:1|34255973:1|42648131:1|47732987:1|79257475:1|71469944:1|36070549:1|50653495:1|208985:1|24188831:1|18143128:1|55237548:1|40764515:1|78889532:1|62687361:1|42777874:1|51755296:1|74915008:1|10260304:1|5854897:1|73362096:1|8371961:1|46463226:1|56340947:1|8723365:1|67923111:1|5734647:1|35853415:1|48139566:1|42517196:1|1564330:1|598392:1|37592486:1|11085345:1|54709877:1|74958300:1|13279773:1|46367857:1|10913332:1|8250279:1|20896379:1|14643476:1|25299797:1|7584811:1|55368322:1|42605216:1|47217016:1|38553689:1
GM|73347092:1|9006082:1|63279335:1|3610414:1|41154633:1|69584433:1|3748018:1|4306435:1|30243222:1|19463539:1|74167838:1|32298062:1|12687814:1|39345168:1|20875506:1|3293033:1|26026100:1|211479:1|77801132:1|44875275:1|1128146:1|10004618:1|52335074:1|6381941:1|17805303:1|9825560:1|18538857:1|535764:1|18285478:1|11642099:1|39906632:1|69217317:1|25803851:1|13109082:1|77612140:1|44736175:1|76266820:1|9680917:1|69678003:1|25614511:1|15765665:1|78803245:1|4352015:1|25453635:1|7717764:1|70030771:1|29899722:1|73784135:1|43646928:1|916751:1
YE|13154663:1|46737460:1|13154841:1|39588362:1|60025690:1|38149734:1|37224174:1|53854927:1|78553878:1|42282778:1|53861761:1|29779772:1|11674137:1|67083483:1|15715371:1|56356847:1|49302845:1|42619325:1|59866536:1|17249477:1|21997560:1|69022:1|30742955:1|49694448:1|28395951:1|12237441:1|75662212:1|63292113:1|43796727:1|78468731:1|33382377:1|48392034:1|24141220:1|44122283:1|43165674:1|46289236:1|78280925:1|452237:1|23919881:1|61842988:1|4946138:1|53266547:1|76969778:1|37835723:1|20831422:1|33157609:1|54667466:1|41924166:1|52554058:1|26067739:1
UG|22501100:1|71889670:1|62320028:1|76627693:1|30124806:1|56352813:1|58925929:1|17016821:1|41201878:1|79841286:1|49830787:1|14761376:1|15969121:1|28680107:1|76470770:1|7390455:1|54087239:1|19254172:1|29757734:1|38850893:1|54821289:1|27870376:1|54178933:1|21734375:1|15702654:1|13659877:1|29729745:1|59641834:1|28015917:1|37551494:1|54719674:1|40817714:1|52522199:1|7082941:1|13424496:1|18449213:1|5795:1|50203263:1|71188773:1|38818959:1|9695654:1|65158307:1|15838603:1|4563274:1|9126602:1|75948415:1|59885246:1|23131276:1|53852425:1|66125414:1
WF|24415283:1|32651558:1|32558233:1|26962593:1|62666513:1|6086225:1|56288576:1|56451299:1|26355211:1|24589776:1|8947932:1|21813398:1|5488603:1|1639674:1|61302448:1|70151981:1|52775645:1|77542350:1|17728140:1|500174:1|53730096:1|78818953:1|3419843:1|28105337:1|6128506:1|23386846:1|71970702:1|75470537:1|53233260:1|32194339:1|4328369:1|43132220:1|5310922:1|13656644:1|4536817:1|20571414:1|54572654:1|70346521:1|54113300:1|52430412:1|69129873:1|73380413:1|21115422:1|60083098:1|51143476:1|7912500:1|6542485:1|59579229:1|79274253:1|28669213:1
ZW|79687451:1|55760191:1|19973216:1|8414020:1|3174359:1|18043308:1|23162401:1|53581864:1|26469572:1|24540551:1|27632719:1|64260722:1|46054509:1|63165527:1|52309736:1|43752136:1|15595898:1|1016529:1|16005026:1|8494381:1|27916971:1|9796606:1|35933819:1|13951959:1|50947768:1|79885085:1|70688417:1|52674378:1|36285138:1|32095402:1|7870551:1|21969930:1|49235335:1|67782191:1|41688297:1|24991888:1|39100357:1|78966783:1|56962760:1|77188095:1|18910946:1|52911864:1|36620392:1|40662569:1|6231233:1|51442271:1|79415579:1|4648453:1|21580961:1|50716677:1
UY|33030228:1|53442119:1|50454339:1|60803766:1|63971488:1|46397449:1|2847953:1|53157560:1|8594385:1|4801130:1|44207571:1|35951268:1|69344687:1|42576483:1|49917971:1|56567877:1|19657284:1|69614221:1|54006890:1|15727768:1|3078941:1|29020010:1|3313004:1|67015794:1|75701204:1|6249370:1|66536705:1|38228660:1|40131180:1|68400456:1|6986400:1|67350545:1|32477800:1|41136809:1|36170631:1|4794771:1|58541318:1|13163913:1|65536388:1|3762450:1|12154032:1|51680671:1|25716818:1|61622602:1|40937768:1|30084408:1|39858025:1|32793855:1|9679109:1|29684008:1
ML|57902438:1|26323915:1|57386359:1|25813939:1|10234705:1|60483557:1|4812519:1|19374708:1|68521249:1|8106969:1|54157496:1|77428204:1|39908492:1|21036283:1|52048158:1|20893454:1|29502633:1|62092179:1|77819656:1|20928255:1|55383751:1|25343292:1|37046465:1|18220336:1|39440431:1|10884169:1|37056782:1|16536395:1|22114926:1|66170278:1|48194533:1|78133711:1|32503563:1|41058297:1|58622537:1|69874567:1|74212890:1|20293719:1|5402427:1|21481596:1|43919220:1|12609599:1|16187206:1|26720115:1|34647638:1|7470289:1|46568634:1|27246172:1|56957372:1|40611483:1
CA|16234419:1|48222829:1|45821274:1|20496601:1|72986591:1|37678952:1|30781711:1|36893286:1|29928762:1|44783597:1|61596627:1|51566751:1|23895433:1|29276834:1|61498929:1|20240705:1|3461975:1|42792071:1|56082595:1|44216301:1|26233965:1|68518278:1|36477130:1|66868048:1|56413351:1|37244412:1|26824730:1|4027798:1|68726135:1|635398:1|40383159:1|25634458:1|78319438:1|8710855:1|44779103:1|59240108:1|68660516:1|8153047:1|1426253:1|35155559:1|25789649:1|37449278:1|72940091:1|16298317:1|45519538:1|38915557:1|64057425:1|44149182:1|4838575:1|40006204:1
TG|6058082:1|3760599:1|63343686:1|61961898:1|74637643:1|7516067:1|38562062:1|56746619:1|55135776:1|7215833:1|3641856:1|69050011:1|36830461:1|28463979:1|22486765:1|26301335:1|54684092:1|44305404:1|58005960:1|58157910:1|30928529:1|8610376:1|26376525:1|79654938:1|66820380:1|14260340:1|39584131:1|75595093:1|45472750:1|45058790:1|13438446:1|12191783:1|32269465:1|6732732:1|37929452:1|60017784:1|58070915:1|49953218:1|62649497:1|12893305:1|3934380:1|79615255:1|68032832:1|17115746:1|56622133:1|26967047:1|18270975:1|37918453:1|14764275:1|8292609:1
JO|61912365:1|31709618:1|45988532:1|66041670:1|7081674:1|33303117:1|74370861:1|36529083:1|67654178:1|11295031:1|47241284:1|44256501:1|57787332:1|28831916:1|70546039:1|20648544:1|12820947:1|17348627:1|58813390:1|4881733:1|26934587:1|16011746:1|62482114:1|11126663:1|36114192:1|60560996:1|30681143:1|57068534:1|52558491:1|29323615:1|12434844:1|16628591:1|5295273:1|47038924:1|42086719:1|8370919:1|25788486:1|32815829:1|38316161:1|27124691:1|63571918:1|76334349:1|40736033:1|72832464:1|74539830:1|1738969:1|16665712:1|5796261:1|27906506:1|11351265:1
BH|34369324:1|30830888:1|57022592:1|40333960:1|78970646:1|68823364:1|14126432:1|76720758:1|47666603:1|38379508:1|60743353:1|32703305:1|58280670:1|74486436:1|76757373:1|50184914:1|10605627:1|41567629:1|46714088:1|19808566:1|40970179:1|38704624:1|13135715:1|36520388:1|31291625:1|58952708:1|37157651:1|31928508:1|55800785:1|9599217:1|75739273:1|24687396:1|22207094:1|54008953:1|78900490:1|7640107:1|9248173:1|1921405:1|4757309:1|51102009:1|74385999:1|16318715:1|5228395:1|40620742:1|61117710:1|51089703:1|38062780:1|63059430:1|36567600:1|56550479:1
CH|42801556:1|40308666:1|42780897:1|7975835:1|2243254:1|74309793:1|78590927:1|23080364:1|39790999:1|11619745:1|1569570:1|2439381:1|26731254:1|56817472:1|25384907:1|42876338:1|34319086:1|37643756:1|26593852:1|56946991:1|69475592:1|48028106:1|8263397:1|36876993:1|71222579:1|53782632:1|74973124:1|3293974:1|51864142:1|21461426:1|16903763:1|29333290:1|78857791:1|49936848:1|66662037:1|51531588:1|74083778:1|66107703:1|24676288:1|75828711:1|43102552:1|40042909:1|50728210:1|72929397:1|16044393:1|55281785:1|55547210:1|19871928:1|22101451:1|37538807:1
CW|65619387:1|28796477:1|33892090:1|52700965:1|7322019:1|25899189:1|254203:1|26809634:1|52592492:1|22474199:1|42571237:1|68132223:1|49182214:1|42836213:1|20249277:1|21274811:1|53259824:1|35283066:1|43433039:1|40434019:1|925871:1|32990078:1|13768018:1|44404400:1|32248585:1|71929212:1|14270663:1|12116898:1|55337653:1|78299317:1|65051558:1|17635285:1|24411319:1|23623622:1|67066791:1|55846017:1|39695607:1|10641878:1|38666478:1|10932445:1|58289180:1|14882899:1|1682895:1|790201:1|9215192:1|9183796:1|15883187:1|21009914:1|73080594:1|17024532:1
VA|45424813:1|21203424:1|70122757:1|5083659:1|2645947:1|15876159:1|23807332:1|34661592:1|69543620:1|35794654:1|46782136:1|52289230:1|7861617:1|56189566:1|67580467:1|22914596:1|22102489:1|25812084:1|61533020:1|33222973:1|66519052:1|35317348:1|51864233:1|76168086:1|51523167:1|7478464:1|16168675:1|48006128:1|57545310:1|7960718:1|534519:1|5719254:1|42073123:1|60071234:1|18828145:1|48093433:1|3178694:1|22710606:1|43392965:1|13633472:1|21623990:1|28826451:1|42321873:1|947301:1|40918767:1|33513040:1|63885923:1|13924095:1|27258461:1|42314121:1
GU|13144205:1|67982524:1|37966834:1|78660974:1|16586538:1|15020430:1|60492248:1|20155973:1|48841416:1|71856800:1|67624588:1|65963027:1|74457428:1|13308355:1|17330209:1|11196272:1|65433410:1|71810404:1|29154710:1|58982212:1|66772422:1|74644091:1|66526595:1|37888902:1|43868730:1|69193198:1|61498462:1|41453896:1|58115961:1|2233680:1|58568716:1|25137696:1|21495247:1|79753545:1|63915006:1|71354790:1|53180667:1|39702667:1|693897:1|57219713:1|76571361:1|17280312:1|2657551:1|29021341:1|27873409:1|32142461:1|2272492:1|16159964:1|64196369:1|73337328:1
LC|39697778:2|44129540:1|800590:1|9906474:1|50367656:1|70675331:1|31376456:1|51947788:1|65958614:1|6324059:1|4003403:1|70369779:1|41276103:1|58004355:1|77856941:1|9657380:1|35405498:1|78903244:1|32064570:1|46347278:1|56523652:1|18693369:1|73512034:1|17431218:1|49498905:1|69165873:1|32102005:1|60582154:1|79355629:1|22740722:1|13939150:1|41327010:1|16919274:1|7449105:1|48110849:1|61317339:1|49195605:1|14993494:1|57961546:1|5160166:1|63654512:1|53268275:1|65662655:1|70224230:1|64504145:1|60211426:1|51289271:1|50527102:1|49367757:1|62827570:1
BE|12704626:1|11606759:1|79577371:1|40925822:1|11305530:1|31354697:1|6372577:1|24612109:1|41966564:1|71652169:1|17685813:1|26904799:1|78146948:1|36452288:1|12396340:1|14884147:1|45666765:1|37580562:1|4774261:1|60581619:1|22527249:1|54377756:1|4617568:1|39943507:1|49988524:1|15860104:1|25990436:1|4021323:1|70846486:1|62481457:1|3172425:1|12774067:1|47137646:1|53103860:1|16000657:1|69522508:1|37879338:1|13118430:1|32130666:1|12360315:1|15044585:1|38766555:1|60845932:1|63216934:1|16551401:1|59227620:1|75541391:1|4495849:1|15526532:1|28513208:1
BZ|67016044:2|33772010:1|31640386:1|42999296:1|58492831:1|18550404:1|26756186:1|78697392:1|40276884:1|35136384:1|33763447:1|34180262:1|17588446:1|36503023:1|57991161:1|7567362:1|8929657:1|53103457:1|46368172:1|54048296:1|50346760:1|55974208:1|40919482:1|26789875:1|57768765:1|75182418:1|37805630:1|63430467:1|52054793:1|25519179:1|36133131:1|47029876:1|77022356:1|44925648:1|54097199:1|35547262:1|38708943:1|51258364:1|64904832:1|41968591:1|235001:1|16127780:1|9656113:1|17386058:1|11823222:1|42927751:1|45498464:1|66880320:1|76144048:1|45766402:1
IM|58853601:1|72888208:1|72779047:1|58456053:1|21703351:1|3766623:1|70835618:1|58674364:1|65267303:1|36597467:1|76249794:1|187083:1|30484326:1|20340319:1|41271361:1|72475631:1|9003553:1|34130796:1|12245417:1|40527152:1|68606553:1|12544212:1|28098572:1|60958539:1|70321409:1|21268262:1|29310356:1|36059042:1|2881372:1|64985660:1|58092929:1|79176979:1|47590934:1|10887164:1|54985521:1|39565240:1|75920697:1|50086817:1|7423811:1|49136317:1|39732229:1|66935205:1|27642515:1|75296984:1|37020358:1|32573418:1|44656348:1|10224328:1|65928071:1|816006:1
CY|249651:1|39233189:1|44011041:1|47169032:1|2217071:1|15731916:1|25380297:1|56365959:1|53897544:1|42743221:1|40541924:1|77629132:1|1281236:1|53525520:1|53520235:1|42693446:1|77987888:1|70743789:1|73137267:1|43568031:1|72825244:1|27687389:1|36639639:1|15174437:1|53262544:1|45883646:1|70406356:1|74893609:1|62713630:1|23285989:1|62434673:1|38625302:1|64442304:1|46540704:1|15219473:1|53060760:1|41233442:1|68487349:1|31425981:1|74648940:1|56406066:1|30043307:1|8693508:1|62580378:1|71707253:1|75896789:1|49605878:1|61813240:1|25573831:1|62152383:1
MN|3428925:1|64218990:1|56035830:1|25655027:1|1449246:1|52922042:1|50927703:1|75716897:1|59488317:1|79340458:1|28232624:1|2244750:1|6877029:1|37066918:1|842887:1|39288764:1|78619063:1|44165050:1|21394454:1|13863275:1|34909541:1|41978358:1|28411416:1|27869539:1|24057498:1|7294322:1|27945073:1|59375749:1|22997898:1|52724252:1|66270375:1|49810221:1|75680419:1|75062021:1|71118437:1|71352912:1|77480516:1|79724525:1|36985091:1|17581360:1|62036912:1|52164417:1|63427577:1|48613347:1|3987986:1|20727772:1|60533173:1|54051579:1|59788208:1|790334:1
TK|53711739:2|1774644:1|64470695:1|63355849:1|18806410:1|70096602:1|60575545:1|57293394:1|39247319:1|3857154:1|4202934:1|57371786:1|22536588:1|3681205:1|39775880:1|48029977:1|1838054:1|79262111:1|47623884:1|7298436:1|45173827:1|3567333:1|75821315:1|3262870:1|68866224:1|51950901:1|68321830:1|32513789:1|51953616:1|39794043:1|79978899:1|73993135:1|44486589:1|65280941:1|47572129:1|68742541:1|18762112:1|21214196:1|37349172:1|45784992:1|20021221:1|78622178:1|49027940:1|74441883:1|34631459:1|3533603:1|79187952:1|41379349:1|39051257:1|71638655:1
GS|56856457:2|73724692:1|21169945:1|30169181:1|14198603:1|53329526:1|66611503:1|67423319:1|20858290:1|19043384:1|49405784:1|30228975:1|17901201:1|71605505:1|45898750:1|21302465:1|36977565:1|53011182:1|39755939:1|41376946:1|69119659:1|36510588:1|18950198:1|9149436:1|27942199:1|15749365:1|66835612:1|40008840:1|42023367:1|1974024:1|34117260:1|76343972:1|9555437:1|68720947:1|61527525:1|75862516:1|21933858:1|6150407:1|57585484:1|38717833:1|45469273:1|7096769:1|54529301:1|41758758:1|35009959:1|11498215:1|30867060:1|17994208:1|15537636:1|9192382:1
AX|8736421:1|64383663:1|64308046:1|40391270:1|21236107:1|53531902:1|48257396:1|59523221:1|62964105:1|59185190:1|10501866:1|37729658:1|73948463:1|22163065:1|78272963:1|10480451:1|73096594:1|11056888:1|41618378:1|38919866:1|30301955:1|50239713:1|915006:1|1535500:1|22051082:1|33838852:1|47416190:1|30217962:1|23548117:1|71776042:1|64285022:1|27868889:1|5677442:1|69471438:1|27234703:1|45927183:1|62231158:1|62481688:1|75180695:1|71095564:1|33334190:1|67581885:1|38631982:1|44888431:1|75257648:1|73478297:1|30875541:1|53706604:1|34888955:1|72832679:1
